,product_name,product_url_image,product_price,product_stock,product_volume,product_weight
38,Apel Fuji Blush 1kg,https://storage.googleapis.com/indo-astro/Apel_Fuji_Blush_1kg_1654657907641_PRODUCT_240x240.png,59600,3,2400.0,1000
39,Bengkuang 1kg,https://storage.googleapis.com/indo-astro/Bengkuang_1kg_1651026011902_PRODUCT_240x240.png,17500,1,1000.0,1000
40,Astro Goods Melon Inthanon Size XL,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_XL_1649997795738_PRODUCT_240x240.png,63000,7,1000.0,1400
41,Astro Goods Melon Inthanon Size XXL,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_XXL_1649997875682_PRODUCT_240x240.png,71000,9,1000.0,1600
42,Buah Naga 1kg,https://storage.googleapis.com/indo-astro/Buah_Naga_1kg_1648030231818_PRODUCT_240x240.png,32000,1,1000.0,1000
43,Jeruk Limau 100gr,https://storage.googleapis.com/indo-astro/Jeruk_Limau_100gr_PRODUCT_1643418836856_240x240.png,6800,3,1000.0,100
44,Strawberry Sweetbaby 130gr/pack,https://storage.googleapis.com/indo-astro/Strawberry_Sweetbaby_130gr_pack_240x240.png,14000,18,1000.0,130
45,Pir Century 1kg,https://storage.googleapis.com/indo-astro/Pir_Century_1kg_240x240.png,41900,5,4500.0,1000
46,Kurma Sukari 850gr,https://storage.googleapis.com/indo-astro/Kurma_Sukari_850gr_1647651305241_PRODUCT_240x240.png,54100,0,1000.0,850
47,Kurma PalmFrutt 500gr,https://storage.googleapis.com/indo-astro/Kurma_PalmFrutt_500gr_1647651319926_PRODUCT_240x240.png,56100,0,1000.0,500
48,Kelengkeng Import 500gr,https://storage.googleapis.com/indo-astro/Kelengkeng_Import_500gr_1650361173744_PRODUCT_240x240.png,32900,0,1000.0,500
49,Nanas Honi Sunpride 1 Pcs,https://storage.googleapis.com/indo-astro/Nanas_Honi_Sunpride_1_pcs_1648575437799_PRODUCT_240x240.png,25100,0,1600.0,500
50,Rock Melon Orange 1 pcs,https://storage.googleapis.com/indo-astro/Rock_Melon_Orange_1_pcs_240x240.png,44900,0,2520.0,200
51,Pear Golden RRC 1 pcs,https://storage.googleapis.com/indo-astro/Pear_Golden_RRC_1_pcs_1659058672820_PRODUCT_240x240.png,33500,0,441.0,500
52,Lemon Lokal 500gr,https://storage.googleapis.com/indo-astro/Lemon_Lokal_500gr_1659058307821_PRODUCT_240x240.png,7500,0,2100.0,500
53,Belimbing Madu 1 Pack,https://storage.googleapis.com/indo-astro/Belimbing_Madu_1kg_1658463579576_PRODUCT_240x240.png,22400,0,3000.0,800
54,Pisang Ambon 1 Sisir,https://storage.googleapis.com/indo-astro/Pisang_Ambon_1_Sisir_1658466739417_PRODUCT_240x240.png,32200,0,8000.0,1500
55,Strawberry Grade A Lafresa 1 Pack,https://storage.googleapis.com/indo-astro/Strawberry_Grade_A_Lafresa_1_Pack_1656311228829_PRODUCT_240x240.png,66500,0,840.0,220
56,Jeruk Sunkist Valencia 1kg,https://storage.googleapis.com/indo-astro/Jeruk_Sunkist_Valencia_1Kg_1656040236664_PRODUCT_240x240.png,39900,0,3600.0,1000
57,Durian Monthong Palu 500gr,https://storage.googleapis.com/indo-astro/Durian_Monthong_Palu_500gr_1655695721152_PRODUCT_240x240.png,91100,0,1774.5,500
58,Sunkist Navel Jumbo 1kg,https://storage.googleapis.com/indo-astro/Sunkist_Navel_Jumbo_1kg_1654668049850_PRODUCT_240x240.png,69700,0,3600.0,1000
59,Pear Pakam Afrika 1kg,https://storage.googleapis.com/indo-astro/Pear_Pakam_Afrika_1kg_1653409690357_PRODUCT_240x240.png,42000,0,1000.0,1000
60,Pisang Frui Baby 1 Pack,https://storage.googleapis.com/indo-astro/Pisang_Frui_Baby_1_Pack_1658985006966_PRODUCT_240x240.png,10500,0,1000.0,500
61,Puree Jambu Merah 500gr,https://storage.googleapis.com/indo-astro/Puree_Jambu_Merah_500gr_PRODUCT_1644978326444_240x240.png,24500,0,1000.0,500
62,Melon Inthanon Size M,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_M_1649228768869_PRODUCT_240x240.png,48000,0,1000.0,1000
