product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Pear Pakam Afrika 1kg,https://storage.googleapis.com/indo-astro/Pear_Pakam_Afrika_1kg_1653409690357_PRODUCT_240x240.png,42000,,1,1000,1000
Bengkuang 1kg,https://storage.googleapis.com/indo-astro/Bengkuang_1kg_1651026011902_PRODUCT_240x240.png,17500,,3,1000,1000
Astro Goods Melon Inthanon Size XL,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_XL_1649997795738_PRODUCT_240x240.png,63000,,7,1000,1400
Astro Goods Melon Inthanon Size XXL,https://storage.googleapis.com/indo-astro/Melon_Inthanon_Size_XXL_1649997875682_PRODUCT_240x240.png,71000,,9,1000,1600
Buah Naga 1kg,https://storage.googleapis.com/indo-astro/Buah_Naga_1kg_1648030231818_PRODUCT_240x240.png,32000,,2,1000,1000
Jeruk Limau 100gr,https://storage.googleapis.com/indo-astro/Jeruk_Limau_100gr_PRODUCT_1643418836856_240x240.png,6800,,3,1000,100
Pir Singo 1 pcs,https://storage.googleapis.com/indo-astro/Pir_Singo_1_pcs_240x240.png,32900,,2,1000,100
Strawberry Sweetbaby 130gr/pack,https://storage.googleapis.com/indo-astro/Strawberry_Sweetbaby_130gr_pack_240x240.png,14000,,18,1000,130
Beet Root 250gr,https://storage.googleapis.com/indo-astro/Beet_Root_250gr_240x240.png,9900,,2,1000,250
Pir Century 1kg,https://storage.googleapis.com/indo-astro/Pir_Century_1kg_240x240.png,41900,,6,4500,1000
Kurma Sukari 850gr,https://storage.googleapis.com/indo-astro/Kurma_Sukari_850gr_1647651305241_PRODUCT_240x240.png,54100,,0,1000,850
Kurma PalmFrutt 500gr,https://storage.googleapis.com/indo-astro/Kurma_PalmFrutt_500gr_1647651319926_PRODUCT_240x240.png,56100,,0,1000,500
Pisang Cavendish Conventional 500gr,https://storage.googleapis.com/indo-astro/Pisang_Cavendish_Conventional_500gr_1657853345927_PRODUCT_240x240.png,11500,,0,322,500
Alpukat Mentega Regular 1kg,https://storage.googleapis.com/indo-astro/Alpukat_Mentega_Super_1kg_240x240.png,39500,,0,1000,1000
Jeruk Mandarin Wokam 750gr,https://storage.googleapis.com/indo-astro/Jeruk_Mandarin_Wokam_750gr_1650361078025_PRODUCT_240x240.png,47900,,0,1200,800
Jeruk Nipis 250gr,https://storage.googleapis.com/indo-astro/Jeruk_Nipis_250gr_1650360975065_PRODUCT_240x240.png,5900,,0,1000,250
Kelengkeng Import 500gr,https://storage.googleapis.com/indo-astro/Kelengkeng_Import_500gr_1650361173744_PRODUCT_240x240.png,32900,,0,1000,500
Anggur Black Magic Mesir 1 Pack,https://storage.googleapis.com/indo-astro/Anggur_Black_Magic_Mesir_1_Pack_1659058530194_PRODUCT_240x240.png,62500,,0,2112,500
