,Goods_name,brand,price
56,bonkyo Wireless Optical Mouse Dan Minimalism - MSE6,Tidak Ada Merek,39900.0
57,Mouse Wireless ROBOT M210 2.4GHz Optical 1600DPI dengan Receiver USB untuk PC Laptop Original Dpi,Robot,61900.0
58,Cover Lensa Kamera Webcam Laptop Universal Ultra Tipis Anti Spy Untuk Privasi,,2024.0
59,SSD RX7 120GB GARANSI RESMI 3 TAHUN,RX7,171000.0
60,OKAY 58D Printer bluetooth mini printer thermal 58MM pos kasir ppob printer termal,Okay,229000.0
61,KERTAS PRINTER THERMAL 58 x 30 - KERTAS STRUK MOBILE PRINTER,Tidak Ada Merek,2500.0
62,Armaggeddon Gaming Mousemat High Non-Slip Base Mouse Pad 22cm x 18cm,,16000.0
63,"Tinta Epson 003 Original (Black, Cyan, Magenta, Yellow)",,78000.0
64,Adapter Fiber Optik SC UPC OPTIC FO ADAPTOR SC SIMPLEX BIRU FIBER OPTIC FO,joinwit,900.0
65,PRINTER BLUETOOTH KASIR IWARE C-58BT SUPPORT CASH DRAWER,Iware,235000.0
66,(HOT) ECLE BSE-1602 Round Speaker Bluetooth 1200 mAh Speaker Musik Portable Holder HP 2 in 1 Bass Audio,Ecle,98800.0
67,Counterfeit Money Detector Joyko MD 100 Alat Pendeteksi Uang Palsu,Joyko,89330.0
68,"WD New My Passport 2TB - HDD / HD / Hardisk / Harddisk External 2.5""",Western Digital,1035000.0
69,Meja Laptop / Meja Lipat / Meja Belajar / Meja Lipat Laptop / Meja Belajar Anak,Tidak Ada Merek,49900.0
70,RAM Laptop DDR4 4GB 8GB 16GB 32GB SODIMM PC-19200 21300 25600 2133MHz 2400MHz 2666MHz 3200MHz V-GeN,V-Gen,278000.0
71,"Protector Protection Sleeve 2 Kawat Diameter Besar Fiber Optic
Pelindung sambungan fiber optik",,540.0
72,SanDisk CZ50 Cruzer Blade (32 GB),Sandisk,54000.0
73,Kabel Lan FTP STP UTP Cat 5e Outdoor CCA Single Jaket Zimmlink Ecer Permeter Kabel Lan Indoor,Zimm Link,1750.0
74,LCD 1602 CHAR BLUE BACKLIGHT WITH I2C SERIAL INTERFACE MODULE,Tidak Ada Merek,35500.0
75,Penghancur Kertas Manual CD Card Paper Shredder - SZ-123 - Blue,Tidak Ada Merek,69000.0
76,Lampu Baca LED Stik USB - Lampu Emergency MIni Stick Murah Unik,Tidak Ada Merek,2450.0
77,"SSD EYOTA 128GB SATA III 2.5"" 6GB/S GARANSI RESMI",Eyota,174000.0
78,2n5551  Transistor 2n5551,Tidak Ada Merek,400.0
79,Logitech MK215 Combo Keyboard dan Mouse Wireless Compact,Logitech,235000.0
80,"Meja Laptop laci,  meja Belajar karakter  Serbaguna and portable bisa naik turun 2 type",Tidak Ada Merek,46900.0
81,CINSEER lampu proyektor dengan speaker langit tidur malam berbintang 2in1,,165000.0
82,Mini Wireless Bluetooth Keyboard Slim Thin Design Untuk Windows / Android / iOS / PC,Tidak Ada Merek,60000.0
83,Tinta Epson 003 L3110 L3150 L1110 L3101 L5190,Epson,25000.0
84,Goojodoq 10 inch Wireless Bluetooth Keyboard Touch keyboard Lightweight Portable For iPad Samsung Xiaomi iPhone Windos Colorful,,62000.0
85,LM2596 DC-DC ADJUSTABLE STEP DOWN POWER SUPPLY 4.5-35V to 1.25-3,Tidak Ada Merek,8700.0
86,Charger Laptop le ideapad 320 320s 330 330s 310 310s 510 110 100 120 130 S145 C340 20V 3.25A,,105000.0
87,TEMPAT CD / DVD KOTAK SLIM PLASTIK,Tidak Ada Merek,2000.0
88,USB Flashdisk SANDISK CRUIZER BLADE (16GB Blue),Sandisk,53400.0
89,SSD 128GB 256GB 512GB 1TB 2TB VGEN SATA3 120GB 240GB 480GB 960GB 1920GB V-GeN + HDD Caddy / Bracket,V-Gen,198000.0
90,pigtail fiber optic sc upc ukuran 3mm,,4500.0
91,HTB-3100 Media Konverter Fiber Optik Single Mode dengan 5V 2A EU adaptor [Bayar ditempat],,63700.0
92,Logitech MK275 Combo Keyboard dan Mouse Wireless dengan Tombol Multimedia,Logitech,279000.0
93,Knee L dan Karet Knee 1 SET - Nepple CISS Infus Modifikasi Sumpel Catridge Printer Canon epson HP,Fixprint,600.0
94,Lampu LED Usb Laptop,Tidak Ada Merek,2500.0
95,Case Casing CD single / Kotak VCD slim Mika / Tempat DVD GT PRO,Tidak Ada Merek,3500.0
96,【Support POE】10/100M 2F4E 2 SC 4 RJ45 Ethernet  PCBA Single Mode 5V-12V input,,156375.0
97,Keyboard COVER PROTECTOR MACBOOK GREENIS NEW AIR PRO M1 MAX 11 12 13 14 15 16 INCH NON / CD ROOM / TOUCHBAR 2020 2021,Tidak Ada Merek,31500.0
98,【Support POE】100Mbps 2F4E Converter 4 RJ45 2 SC Ethernet Fiber Converter dengan adaptor 5V-12V power input,,180420.0
99,Headset Robot RE701 Wired  Earphone Bass Compatible For All Phone Original - Garansi 1 Tahun,Robot,37900.0
100,Adapter SC UPC Fiber Optik Sambungan Connector Single Mode,Tidak Ada Merek,1277.0
101,HUION H430P H640P Digital tablets USB Signature Drawing Tablet OSU Tablet With Free Battery Pen,Huion,68500.0
102,CARL AND ELLIE [22×18cm] Classic Alas Mouse Pad Polos,,2399.0
103,Adaptor SC / Adapter Fiber Optic Connector SC UPC Biru dan SC APC Hijau [BISA COD],,1000.0
104,Tinta Epson 664 Original Printer L121 L100 L110 L120 L200 L210 L220 L300 L310 L350 L355 Refill Botol Refil Black Color Ink Ori 100% Resmi Hitam Warna T664 T6641 T6642 T6443,Epson,79000.0
105,Original kabel data eksternal hardisk Usb 3.0 haigh quality warna hitam USB 3.0,Tidak Ada Merek,15000.0
106,Goojodoq 2nd gen Pro 10 Inch 3 in 1 Wireless Bluetooth Keyboard Mouse Set Lightweight Portable For iPad Samsung Xiaomi Phone,,62000.0
107,【Support POE】10/100Mbps 2F4E Fiber Converter Switch Single Mode Fiber Switch Bisa COD 5V-12V Power,,174720.0
108,Penguat Sinyal MI WiFi Extender PRO Signal Booster 300Mbps Repeater Amplifier,Xiaomi,129000.0
109,Stop Lock hook magnet Kunci cantolan ram display Ram Pengaman Accesories Toko Aksesoris Asesoris HP,,1999.0
110,Kabel UTP LAN Outdoor Spectra Eceran / FTP STP CAT5E Meter Ecer meteran,,1600.0
111,Konektor RJ45 LAN. Connector RJ 45. SATUAN ECERAN,,225.0
112,Sandisk Ultra Dual Drive M3.0 White / Gold Flashdisk Otg 32Gb Up To 130Mbps,Sandisk,83000.0
113,Knee L dan Karet Knee CISS Catridge Modif Infus Modifikasi Printer Canon HP,0,400.0
114,[EBS] GT2 Timing Belt 6mm Rubber PU Steel Core 100mm W6 10cm Pitch 2mm CNC 3D Printer Mekanik Karet Rantai XL Gerak Open Loop,Tidak Ada Merek,1500.0
115,Coretech Twinfan Cooling Pad Kipas Fan Pendingin Laptop Portable,Goto Hardware,109000.0
116,KOZURE MC101 / Money Counter Detector / Mesin Hitung Uang 101,Kozure,894000.0
117,SSD 128GB 256GB 512GB 1TB V-GeN 120GB 240GB 480GB 960GB VGEN + HDD Caddy 12.7 mm 9.5 mm Bracket PC,V-Gen,198000.0
118,Totolink N200RE V4 Wireless Router,,152000.0
119,casing dvd 9mm double/ single,,2300.0
