good_id,name,price,imageUrl,countReview,location
849817430,Jamur Tiram Fresh,Rp3.300,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/13/bff1c49a-c819-4be5-9a6a-a4f8bc2e15fd.png,568,Jakarta Barat
2143324495,Daun Katuk - Bakoel Sayur Online,Rp4.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/12/66cade9a-7689-4dd6-ac1f-e2b21157e8e0.png,124,Jakarta Barat
1404163208,Jamur Champignon (200gr) - Sayur ABOVE,Rp12.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/4/039edaaf-b486-42dd-b423-e14fa7a6b121.jpg,359,Jakarta Selatan
760120371,siomak fresh,Rp10.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/21/d7d5fa55-953b-4682-ab02-1c1f08d7d5b3.png,658,Jakarta Barat
1196063301,Daun Mint - Bakoel Sayur Online,Rp4.100,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/11/1/aa1e57ec-795b-4b56-9c90-a0992346f790.png,397,Jakarta Barat
1478352492,Fresh Pakcoy Segar Organik - Sayur Kendal,Rp5.670,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/3/80db0d53-e2ae-469a-97cd-9df2f340bf42.jpg,755,Jakarta Pusat
256162103,Buncis Conventional 250 gram Sayurbox,Rp5.200,https://images.tokopedia.net/img/cache/200-square/product-1/2019/9/16/24352824/24352824_5e07f2fa-c9de-4065-bc39-a2b9d829324a_500_500,2967,Jakarta Selatan
466369958,Celery Stick Import 500 gr FreshBox,Rp26.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/11/7937198f-2cad-4109-90cb-6897598218c8.png,296,Tangerang
1877835413,BAYAM HIJAU SAYUR [1 Ikat] FRESH,Rp1.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/10/c33090f5-8778-43a4-bc3b-eb369899e77d.jpg,834,Jakarta Selatan
1446882217,Fresh Brokoli Hijau Segar Organik - SayurKendal,Rp18.589,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/12/24/5e9acdfd-7023-435f-9b63-a05382935e72.jpg,608,Jakarta Pusat
776582512,Frozen Blueberry IQF - Frozen Fruit Firestone USA 500gr,Rp65.000,https://images.tokopedia.net/img/cache/200-square/product-1/2021/3/8/7411369/7411369_24ae3e51-24c2-4ebd-8867-634bc0b71747.jpg,369,Jakarta Utara
1183506560,KENTANG DIENG JUMBO,Rp10.000,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/7/acb6b644-ec2d-48d2-a992-845e657910c6.png,544,Jakarta Timur
1095957019,Sayur Selada Iceberg Organik /200g,Rp15.900,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/3/3297f276-11d3-4fd4-8d6f-bf543472b2ed.jpg,359,Jakarta Selatan
1887054350,Daun Ketumbar Wansui Harvest (Per 1 Pack 200 Gram),Rp15.800,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/5/69dda5f2-6a52-4dbe-8fe8-0eb2bce306cd.jpg,105,Jakarta Selatan
