product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Ika's Fish Snack BBQ 120gr,https://storage.googleapis.com/indo-astro/Ika's_Fish_Snack_BBQ_120gr_1659000195556_PRODUCT_240x240.png,37100,,6,1947,120
Ika's Fish Snack Hot & Spicy 120gr,https://storage.googleapis.com/indo-astro/Ika's_Fish_Snack_Hot_&_Spicy_120gr_1659000211501_PRODUCT_240x240.png,37100,,4,1947,120
Qtela Original 180gr,https://storage.googleapis.com/indo-astro/Qtela_Original_180gr_1658382101271_PRODUCT_240x240.png,14000,,1,1485,180
Chip Chip Hooray Premium Taro Snack - Sambal Jeruk,https://storage.googleapis.com/indo-astro/Chip_Chip_Hooray_Premium_Taro_Snack_-_Sambal_Jeruk_1656935370882_PRODUCT_240x240.png,16500,,1,1305,75
Snack Chiki Balls Curious Choco 200gr,https://storage.googleapis.com/indo-astro/Snack_Chiki_Balls_Curious_Choco_200gr_1654485664588_PRODUCT_240x240.png,19500,,18,1862,200
Snack Chiki Balls Cheeky Chicken 200gr,https://storage.googleapis.com/indo-astro/Snack_Chiki_Balls_Cheeky_Chicken_200gr_1654485677901_PRODUCT_240x240.png,19500,,18,1862,200
Boncabe Makaroni Krispy Rasa Keju Pedas Level 2 150gr,https://storage.googleapis.com/indo-astro/Boncabe_Makaroni_Krispy_Rasa_Keju_Pedas_Level_2_150gr_1653021189089_PRODUCT_240x240.png,9200,8200,5,1000,150
OOPS Roasted Sweet Corn 45gr,https://storage.googleapis.com/indo-astro/OOPS_Roasted_Sweet_Corn_45gr_1655460279388_PRODUCT_240x240.png,3800,,1,1000,45
OOPS Baked Chicken Tomato 45gr,https://storage.googleapis.com/indo-astro/OOPS_Baked_Chicken_Tomato_45gr_1652423015736_PRODUCT_240x240.png,3800,,1,1000,45
Piattos Sambal Geprek 75gr,https://storage.googleapis.com/indo-astro/Piattos_Sambal_Geprek_75gr_1649822865807_PRODUCT_240x240.png,9500,6300,2,1000,75
Piattos Sambal Matah 75gr,https://storage.googleapis.com/indo-astro/Piattos_Sambal_Matah_75gr_1649822875236_PRODUCT_240x240.png,9500,6300,3,1000,75
Piattos BBQ Rejuvenate 75gr,https://storage.googleapis.com/indo-astro/Piattos_BBQ_Rejuvenate_75gr_1649822913015_PRODUCT_240x240.png,9500,6300,3,1000,75
Garuda Crunchy O'Corn Sea Salt 96gr,https://storage.googleapis.com/indo-astro/Garuda_Crunchy_O'Corn_Sea_Salt_96gr_1652239993188_PRODUCT_240x240.png,14500,,6,1000,96
Keripik Pisang Zanana Creamy Milk 80gr,https://storage.googleapis.com/indo-astro/Keripik_Pisang_Zanana_Creamy_Milk_80gr_1652240629550_PRODUCT_240x240.png,19500,,1,1000,80
Keripik Pisang Zanana Brown Chocolate 80gr,https://storage.googleapis.com/indo-astro/Keripik_Pisang_Zanana_Brown_Chocolate_80gr_1652240667138_PRODUCT_240x240.png,19500,,5,1000,80
Oriental Cheese Ball 80gr,https://storage.googleapis.com/indo-astro/Oriental_Cheese_Ball_80gr_1647852774811_PRODUCT_240x240.png,25000,,6,1000,80
Oriental Super Ring 60gr,https://storage.googleapis.com/indo-astro/Oriental_Super_Ring_60gr_1649127087649_PRODUCT_240x240.png,10000,,6,1000,60
Good Living Banana Chips Black Truffle Flavor 55gr,https://storage.googleapis.com/indo-astro/Good_Living_Banana_Chips_Black_Truffle_Flavor_55gr_PRODUCT_240x240.png,19200,,5,1000,55
Good Living Banana Chips Honey Flavor 55gr,https://storage.googleapis.com/indo-astro/Good_Living_Banana_Chips_Honey_Flavor_55gr_PRODUCT_240x240.png,19200,,4,1000,55
Good Living Banana Chips Chocolate Flavor 55gr,https://storage.googleapis.com/indo-astro/Good_Living_Banana_Chips_Chocolate_Flavor_55gr_PRODUCT_240x240.png,19200,,8,1000,55
Chitato Sapi Bumbu Bakar 68gr,https://storage.googleapis.com/indo-astro/Chitato_Sapi_Bumbu_Bakar_68gr_PRODUCT_1645613989494_240x240.png,9400,,5,1000,68
Chitato Lite Rumput Laut 68gr,https://storage.googleapis.com/indo-astro/Chitato_Lite_Rumput_Laut_68gr_PRODUCT_1645613896801_240x240.png,9400,,21,1000,68
Chiki Twist Jagung Bakar 40gr,https://storage.googleapis.com/indo-astro/Chiki_Twist_Jagung_Bakar_40gr_PRODUCT_1645612731352_240x240.png,3800,,15,1000,40
Chiki Twist Ayam Panggang 40gr,https://storage.googleapis.com/indo-astro/Chiki_Twist_Ayam_Panggang_40gr_PRODUCT_1645612618889_240x240.png,3800,,7,1000,40
