Goods_name,brand,price,sold
SSD RX7 120GB GARANSI RESMI 3 TAHUN,RX7,171000,826
Kabel Lan FTP Cat 5e CCA Outdoor Zimmlink Ecer Per Meter,Zimm Link,1945,327
OKAY 58D Printer bluetooth mini printer thermal 58MM pos kasir ppob printer termal,Okay,229000,2064
KERTAS PRINTER THERMAL 58 x 30 - KERTAS STRUK MOBILE PRINTER,Tidak Ada Merek,2500,4113
Armaggeddon Gaming Mousemat High Non-Slip Base Mouse Pad 22cm x 18cm,,16000,1295
"Tinta Epson 003 Original (Black, Cyan, Magenta, Yellow)",,78000,2222
Adapter Fiber Optik SC UPC OPTIC FO ADAPTOR SC SIMPLEX BIRU FIBER OPTIC FO,joinwit,900,2400
PRINTER BLUETOOTH KASIR IWARE C-58BT SUPPORT CASH DRAWER,Iware,235000,1030
(HOT) ECLE BSE-1602 Round Speaker Bluetooth 1200 mAh Speaker Musik Portable Holder HP 2 in 1 Bass Audio,Ecle,98800,782
Counterfeit Money Detector Joyko MD 100 Alat Pendeteksi Uang Palsu,Joyko,89330,212
"WD New My Passport 2TB - HDD / HD / Hardisk / Harddisk External 2.5""",Western Digital,1035000,91
Meja Laptop / Meja Lipat / Meja Belajar / Meja Lipat Laptop / Meja Belajar Anak,Tidak Ada Merek,49900,596
RAM Laptop DDR4 4GB 8GB 16GB 32GB SODIMM PC-19200 21300 25600 2133MHz 2400MHz 2666MHz 3200MHz V-GeN,V-Gen,278000,166
"Protector Protection Sleeve 2 Kawat Diameter Besar Fiber Optic
Pelindung sambungan fiber optik",,540,50
SanDisk CZ50 Cruzer Blade (32 GB),Sandisk,54000,4896
Kabel Lan FTP STP UTP Cat 5e Outdoor CCA Single Jaket Zimmlink Ecer Permeter Kabel Lan Indoor,Zimm Link,1750,1121
LCD 1602 CHAR BLUE BACKLIGHT WITH I2C SERIAL INTERFACE MODULE,Tidak Ada Merek,35500,408
Penghancur Kertas Manual CD Card Paper Shredder - SZ-123 - Blue,Tidak Ada Merek,69000,54
Lampu Baca LED Stik USB - Lampu Emergency MIni Stick Murah Unik,Tidak Ada Merek,2450,143
"SSD EYOTA 128GB SATA III 2.5"" 6GB/S GARANSI RESMI",Eyota,174000,1129
2n5551  Transistor 2n5551,Tidak Ada Merek,400,1701
Logitech MK215 Combo Keyboard dan Mouse Wireless Compact,Logitech,235000,599
"Meja Laptop laci,  meja Belajar karakter  Serbaguna and portable bisa naik turun 2 type",Tidak Ada Merek,46900,29
CINSEER lampu proyektor dengan speaker langit tidur malam berbintang 2in1,,165000,1669
Mini Wireless Bluetooth Keyboard Slim Thin Design Untuk Windows / Android / iOS / PC,Tidak Ada Merek,60000,844
Tinta Epson 003 L3110 L3150 L1110 L3101 L5190,Epson,25000,774
Goojodoq 10 inch Wireless Bluetooth Keyboard Touch keyboard Lightweight Portable For iPad Samsung Xiaomi iPhone Windos Colorful,,62000,465
LM2596 DC-DC ADJUSTABLE STEP DOWN POWER SUPPLY 4.5-35V to 1.25-3,Tidak Ada Merek,8700,1650
Charger Laptop le ideapad 320 320s 330 330s 310 310s 510 110 100 120 130 S145 C340 20V 3.25A,,105000,342
TEMPAT CD / DVD KOTAK SLIM PLASTIK,Tidak Ada Merek,2000,457
USB Flashdisk SANDISK CRUIZER BLADE (16GB Blue),Sandisk,53400,471
SSD 128GB 256GB 512GB 1TB 2TB VGEN SATA3 120GB 240GB 480GB 960GB 1920GB V-GeN + HDD Caddy / Bracket,V-Gen,198000,57
pigtail fiber optic sc upc ukuran 3mm,,4500,842
HTB-3100 Media Konverter Fiber Optik Single Mode dengan 5V 2A EU adaptor [Bayar ditempat],,63700,2894
Logitech MK275 Combo Keyboard dan Mouse Wireless dengan Tombol Multimedia,Logitech,279000,307
Knee L dan Karet Knee 1 SET - Nepple CISS Infus Modifikasi Sumpel Catridge Printer Canon epson HP,Fixprint,600,239
Lampu LED Usb Laptop,Tidak Ada Merek,2500,38
Case Casing CD single / Kotak VCD slim Mika / Tempat DVD GT PRO,Tidak Ada Merek,3500,1205
__upport POE_10/100M 2F4E 2 SC 4 RJ45 Ethernet  PCBA Single Mode 5V-12V input,,156375,456
Keyboard COVER PROTECTOR MACBOOK GREENIS NEW AIR PRO M1 MAX 11 12 13 14 15 16 INCH NON / CD ROOM / TOUCHBAR 2020 2021,Tidak Ada Merek,31500,364
__upport POE_100Mbps 2F4E Converter 4 RJ45 2 SC Ethernet Fiber Converter dengan adaptor 5V-12V power input,,180420,412
