name,price,brandId,brandName,itemId,inStock,image
sereh lokal segar 250gram,3000,4484,No Brand,5703182349,TRUE,https://filebroker-cdn.lazada.co.id/kf/Sf919452e05654f8a8c51a5d0535199afk.jpg
lengkuas segar bumbu masak 250gram,3000,4484,No Brand,5703126736,TRUE,https://filebroker-cdn.lazada.co.id/kf/S0d86e0df93074a08a86394fe940510a6E.jpg
pakis sayur segar perikat,3000,4484,No Brand,5164140740,TRUE,https://id-test-11.slatic.net/p/ee287c3d0afe91a0a2c63c779251c3e3.jpg
lem kertas kecil,3000,4484,No Brand,4309328519,TRUE,https://id-test-11.slatic.net/p/f6e7b970a47f7b04d0d15b78ae5e25b4.jpg
Buah Lemon Lokal Super Grad A Fresh,3031.25,4484,No Brand,6618898667,TRUE,https://id-test-11.slatic.net/p/e3b077f0ebec368877486e6d5cadfa56.jpg
Labu Siam 300 Gram,3100,4484,No Brand,6064922440,TRUE,https://id-test-11.slatic.net/p/34d39b599035a7e14b6183829d223a18.jpg
kacang gurih/kacang panggang istimewa/promo kacang goreng termurah/kacang bawang goreng/kacang almond/kacang mete/kacangmede/kacang tanah kupas mantap/kacang super gurih/cemilan khas lebaran/cemilan gurih/raja rasa,3168,4484,No Brand,6291956363,TRUE,https://sg-test-11.slatic.net/p/547b5421751d91aa5aa9d09fcb6b3f10.jpg
Sawi Hijau 250 Gram,3200,4484,No Brand,6064936364,TRUE,https://id-test-11.slatic.net/p/e937a160622f3194131194260d00919d.jpg
CARI SAYUR - Labu Siam [500 gr],3200,121239277,CARI SAYUR,1170132085,TRUE,https://id-test-11.slatic.net/p/19e9cb99be3bee95851ce0051014a3b3.jpg
CARI SAYUR - Pakcoy [250 gr],3200,121239277,CARI SAYUR,1169760864,TRUE,https://id-test-11.slatic.net/p/69d73568f3000b8b5f4d05bb2a1ec76e.jpg
CARI SAYUR - Tauge [250 gr],3300,121239277,CARI SAYUR,1157422390,TRUE,https://id-test-11.slatic.net/p/0465939c832e1fd428317990e8d5c338.jpg
